gap_threshold,reversal_threshold,entry_window_minutes,trading_date,trades,wins,daily_return,win_rate
0.0,0.0015,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.0,0.0015,5,2026-03-03,3,3,0.014022153267639255,1.0
0.0,0.0015,5,2026-03-04,4,4,0.026833267121788296,1.0
0.0,0.0015,5,2026-03-05,2,1,0.012560635883709832,0.5
0.0,0.0015,5,2026-03-06,4,3,0.04947792289030989,0.75
0.0,0.0015,10,2026-03-02,1,1,0.000606008137823629,1.0
0.0,0.0015,10,2026-03-03,3,3,0.01562935870047651,1.0
0.0,0.0015,10,2026-03-04,5,4,0.02175088632556721,0.8
0.0,0.0015,10,2026-03-05,3,3,0.023811598888302008,1.0
0.0,0.0015,10,2026-03-06,5,5,0.042024206831311486,1.0
0.0,0.0025,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.0,0.0025,5,2026-03-03,3,3,0.014022153267639255,1.0
0.0,0.0025,5,2026-03-04,4,4,0.026833267121788296,1.0
0.0,0.0025,5,2026-03-05,2,1,0.012560635883709832,0.5
0.0,0.0025,5,2026-03-06,4,3,0.04947792289030989,0.75
0.0,0.0025,10,2026-03-02,1,1,0.000606008137823629,1.0
0.0,0.0025,10,2026-03-03,3,3,0.01562935870047651,1.0
0.0,0.0025,10,2026-03-04,5,4,0.02175088632556721,0.8
0.0,0.0025,10,2026-03-05,3,3,0.023811598888302008,1.0
0.0,0.0025,10,2026-03-06,5,5,0.042024206831311486,1.0
0.0,0.0035,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.0,0.0035,5,2026-03-03,3,3,0.014022153267639255,1.0
0.0,0.0035,5,2026-03-04,4,4,0.026833267121788296,1.0
0.0,0.0035,5,2026-03-05,2,1,0.012560635883709832,0.5
0.0,0.0035,5,2026-03-06,3,3,0.0661938279752022,1.0
0.0,0.0035,10,2026-03-02,1,1,0.000606008137823629,1.0
0.0,0.0035,10,2026-03-03,3,3,0.01562935870047651,1.0
0.0,0.0035,10,2026-03-04,4,3,0.023254459498775998,0.75
0.0,0.0035,10,2026-03-05,3,3,0.023811598888302008,1.0
0.0,0.0035,10,2026-03-06,5,5,0.042024206831311486,1.0
0.0,0.005,5,2026-03-03,2,2,0.005968393898407793,1.0
0.0,0.005,5,2026-03-04,4,4,0.026833267121788296,1.0
0.0,0.005,5,2026-03-05,2,1,0.012560635883709832,0.5
0.0,0.005,5,2026-03-06,3,3,0.0661938279752022,1.0
0.0,0.005,10,2026-03-02,1,1,0.000606008137823629,1.0
0.0,0.005,10,2026-03-03,3,3,0.01562935870047651,1.0
0.0,0.005,10,2026-03-04,3,3,0.032097167469891774,1.0
0.0,0.005,10,2026-03-05,2,2,0.024895873750505598,1.0
0.0,0.005,10,2026-03-06,5,5,0.042024206831311486,1.0
0.005,0.0015,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.005,0.0015,5,2026-03-03,3,3,0.014022153267639255,1.0
0.005,0.0015,5,2026-03-04,2,2,0.036707652213602504,1.0
0.005,0.0015,5,2026-03-05,2,1,0.012560635883709832,0.5
0.005,0.0015,5,2026-03-06,4,3,0.04947792289030989,0.75
0.005,0.0015,10,2026-03-02,1,1,0.000606008137823629,1.0
0.005,0.0015,10,2026-03-03,3,3,0.01562935870047651,1.0
0.005,0.0015,10,2026-03-04,2,2,0.03985622431442115,1.0
0.005,0.0015,10,2026-03-05,3,3,0.023811598888302008,1.0
0.005,0.0015,10,2026-03-06,4,4,0.0437411960391393,1.0
0.005,0.0025,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.005,0.0025,5,2026-03-03,3,3,0.014022153267639255,1.0
0.005,0.0025,5,2026-03-04,2,2,0.036707652213602504,1.0
0.005,0.0025,5,2026-03-05,2,1,0.012560635883709832,0.5
0.005,0.0025,5,2026-03-06,4,3,0.04947792289030989,0.75
0.005,0.0025,10,2026-03-02,1,1,0.000606008137823629,1.0
0.005,0.0025,10,2026-03-03,3,3,0.01562935870047651,1.0
0.005,0.0025,10,2026-03-04,2,2,0.03985622431442115,1.0
0.005,0.0025,10,2026-03-05,3,3,0.023811598888302008,1.0
0.005,0.0025,10,2026-03-06,4,4,0.0437411960391393,1.0
0.005,0.0035,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.005,0.0035,5,2026-03-03,3,3,0.014022153267639255,1.0
0.005,0.0035,5,2026-03-04,2,2,0.036707652213602504,1.0
0.005,0.0035,5,2026-03-05,2,1,0.012560635883709832,0.5
0.005,0.0035,5,2026-03-06,3,3,0.0661938279752022,1.0
0.005,0.0035,10,2026-03-02,1,1,0.000606008137823629,1.0
0.005,0.0035,10,2026-03-03,3,3,0.01562935870047651,1.0
0.005,0.0035,10,2026-03-04,2,2,0.03985622431442115,1.0
0.005,0.0035,10,2026-03-05,3,3,0.023811598888302008,1.0
0.005,0.0035,10,2026-03-06,4,4,0.0437411960391393,1.0
0.005,0.005,5,2026-03-03,2,2,0.005968393898407793,1.0
0.005,0.005,5,2026-03-04,2,2,0.036707652213602504,1.0
0.005,0.005,5,2026-03-05,2,1,0.012560635883709832,0.5
0.005,0.005,5,2026-03-06,3,3,0.0661938279752022,1.0
0.005,0.005,10,2026-03-02,1,1,0.000606008137823629,1.0
0.005,0.005,10,2026-03-03,3,3,0.01562935870047651,1.0
0.005,0.005,10,2026-03-04,2,2,0.03985622431442115,1.0
0.005,0.005,10,2026-03-05,2,2,0.024895873750505598,1.0
0.005,0.005,10,2026-03-06,4,4,0.0437411960391393,1.0
0.01,0.0015,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.01,0.0015,5,2026-03-03,3,3,0.014022153267639255,1.0
0.01,0.0015,5,2026-03-04,2,2,0.036707652213602504,1.0
0.01,0.0015,5,2026-03-05,2,1,0.012560635883709832,0.5
0.01,0.0015,5,2026-03-06,4,3,0.04947792289030989,0.75
0.01,0.0015,10,2026-03-02,1,1,0.000606008137823629,1.0
0.01,0.0015,10,2026-03-03,3,3,0.01562935870047651,1.0
0.01,0.0015,10,2026-03-04,2,2,0.03985622431442115,1.0
0.01,0.0015,10,2026-03-05,3,3,0.023811598888302008,1.0
0.01,0.0015,10,2026-03-06,4,4,0.0437411960391393,1.0
0.01,0.0025,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.01,0.0025,5,2026-03-03,3,3,0.014022153267639255,1.0
0.01,0.0025,5,2026-03-04,2,2,0.036707652213602504,1.0
0.01,0.0025,5,2026-03-05,2,1,0.012560635883709832,0.5
0.01,0.0025,5,2026-03-06,4,3,0.04947792289030989,0.75
0.01,0.0025,10,2026-03-02,1,1,0.000606008137823629,1.0
0.01,0.0025,10,2026-03-03,3,3,0.01562935870047651,1.0
0.01,0.0025,10,2026-03-04,2,2,0.03985622431442115,1.0
0.01,0.0025,10,2026-03-05,3,3,0.023811598888302008,1.0
0.01,0.0025,10,2026-03-06,4,4,0.0437411960391393,1.0
0.01,0.0035,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.01,0.0035,5,2026-03-03,3,3,0.014022153267639255,1.0
0.01,0.0035,5,2026-03-04,2,2,0.036707652213602504,1.0
0.01,0.0035,5,2026-03-05,2,1,0.012560635883709832,0.5
0.01,0.0035,5,2026-03-06,3,3,0.0661938279752022,1.0
0.01,0.0035,10,2026-03-02,1,1,0.000606008137823629,1.0
0.01,0.0035,10,2026-03-03,3,3,0.01562935870047651,1.0
0.01,0.0035,10,2026-03-04,2,2,0.03985622431442115,1.0
0.01,0.0035,10,2026-03-05,3,3,0.023811598888302008,1.0
0.01,0.0035,10,2026-03-06,4,4,0.0437411960391393,1.0
0.01,0.005,5,2026-03-03,2,2,0.005968393898407793,1.0
0.01,0.005,5,2026-03-04,2,2,0.036707652213602504,1.0
0.01,0.005,5,2026-03-05,2,1,0.012560635883709832,0.5
0.01,0.005,5,2026-03-06,3,3,0.0661938279752022,1.0
0.01,0.005,10,2026-03-02,1,1,0.000606008137823629,1.0
0.01,0.005,10,2026-03-03,3,3,0.01562935870047651,1.0
0.01,0.005,10,2026-03-04,2,2,0.03985622431442115,1.0
0.01,0.005,10,2026-03-05,2,2,0.024895873750505598,1.0
0.01,0.005,10,2026-03-06,4,4,0.0437411960391393,1.0
0.02,0.0015,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.02,0.0015,5,2026-03-03,3,3,0.014022153267639255,1.0
0.02,0.0015,5,2026-03-04,1,1,0.0416316232127838,1.0
0.02,0.0015,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.02,0.0015,5,2026-03-06,4,3,0.04947792289030989,0.75
0.02,0.0015,10,2026-03-02,1,1,0.000606008137823629,1.0
0.02,0.0015,10,2026-03-03,3,3,0.01562935870047651,1.0
0.02,0.0015,10,2026-03-04,1,1,0.045147679324894385,1.0
0.02,0.0015,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.02,0.0015,10,2026-03-06,4,4,0.0437411960391393,1.0
0.02,0.0025,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.02,0.0025,5,2026-03-03,3,3,0.014022153267639255,1.0
0.02,0.0025,5,2026-03-04,1,1,0.0416316232127838,1.0
0.02,0.0025,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.02,0.0025,5,2026-03-06,4,3,0.04947792289030989,0.75
0.02,0.0025,10,2026-03-02,1,1,0.000606008137823629,1.0
0.02,0.0025,10,2026-03-03,3,3,0.01562935870047651,1.0
0.02,0.0025,10,2026-03-04,1,1,0.045147679324894385,1.0
0.02,0.0025,10,2026-03-05,1,1,0.0062880123318300165,1.0
0.02,0.0025,10,2026-03-06,4,4,0.0437411960391393,1.0
0.02,0.0035,5,2026-03-02,1,0,-0.0027361563517915113,0.0
0.02,0.0035,5,2026-03-03,3,3,0.014022153267639255,1.0
0.02,0.0035,5,2026-03-04,1,1,0.0416316232127838,1.0
0.02,0.0035,5,2026-03-05,1,0,-0.0045901993458001954,0.0
0.02,0.0035,5,2026-03-06,3,3,0.0661938279752022,1.0
